X,CH1,CH3,Start,Increment,
Sequence,Volt,Volt,-1.200000e-06,2.000000e-09
0,8.00e-01,1.52e-01,
1,8.80e-01,1.52e-01,
2,8.00e-01,1.52e-01,
3,8.00e-01,1.52e-01,
4,8.00e-01,1.60e-01,
5,8.00e-01,1.60e-01,
6,7.20e-01,1.60e-01,
7,7.20e-01,1.68e-01,
8,6.40e-01,1.68e-01,
9,8.00e-01,1.68e-01,
10,6.40e-01,1.68e-01,
11,7.20e-01,1.68e-01,
12,7.20e-01,1.76e-01,
13,8.00e-01,1.84e-01,
14,7.20e-01,1.76e-01,
15,7.20e-01,1.76e-01,
16,7.20e-01,1.84e-01,
17,8.00e-01,1.84e-01,
18,6.40e-01,1.92e-01,
19,6.40e-01,1.84e-01,
20,5.60e-01,1.92e-01,
21,7.20e-01,1.84e-01,
22,5.60e-01,1.84e-01,
23,5.60e-01,1.84e-01,
24,5.60e-01,2.00e-01,
25,6.40e-01,2.00e-01,
26,6.40e-01,2.00e-01,
27,6.40e-01,2.00e-01,
28,5.60e-01,1.92e-01,
29,5.60e-01,1.92e-01,
30,5.60e-01,2.00e-01,
31,4.80e-01,2.00e-01,
32,4.80e-01,2.00e-01,
33,6.40e-01,2.00e-01,
34,4.80e-01,2.00e-01,
35,4.80e-01,2.00e-01,
36,4.00e-01,2.08e-01,
37,4.80e-01,2.08e-01,
38,4.00e-01,2.08e-01,
39,4.80e-01,2.08e-01,
40,4.00e-01,2.08e-01,
41,4.00e-01,2.00e-01,
42,4.00e-01,2.00e-01,
43,4.00e-01,2.00e-01,
44,3.20e-01,2.00e-01,
45,4.00e-01,2.08e-01,
46,3.20e-01,2.08e-01,
47,3.20e-01,2.08e-01,
48,3.20e-01,2.00e-01,
49,3.20e-01,2.08e-01,
50,3.20e-01,2.00e-01,
51,3.20e-01,1.92e-01,
52,2.40e-01,2.08e-01,
53,3.20e-01,2.00e-01,
54,2.40e-01,2.00e-01,
55,2.40e-01,2.00e-01,
56,8.00e-02,2.00e-01,
57,2.40e-01,2.00e-01,
58,1.60e-01,2.00e-01,
59,1.60e-01,2.00e-01,
60,1.60e-01,2.00e-01,
61,8.00e-02,2.00e-01,
